DATE,DATE,GDPCA,GDP
1929,1929-01-01,1109.448,0.0652
1930,1930-01-01,1015.058,-0.08507834526719604
1931,1931-01-01,950.037,-0.06405643815427287
1932,1932-01-01,827.495,-0.1289865552604793
1933,1933-01-01,817.265,-0.012362612462915257
1934,1934-01-01,905.594,0.1080787749383616
1935,1935-01-01,986.231,0.08904321362553191
1936,1936-01-01,1113.291,0.1288339141641257
1937,1937-01-01,1170.344,0.05124715820032688
1938,1938-01-01,1131.564,-0.03313555672520219
1939,1939-01-01,1222.375,0.08025264147675237
1940,1940-01-01,1330.151,0.08816934246855501
1941,1941-01-01,1565.778,0.1771430461654353
1942,1942-01-01,1861.5,0.1888658545464299
1943,1943-01-01,2178.39,0.17023368251410154
1944,1944-01-01,2351.627,0.079525245708987
1945,1945-01-01,2328.626,-0.009780887870397659
1946,1946-01-01,2058.375,-0.11605599181663362
1947,1947-01-01,2034.814,-0.01144640796745
1948,1948-01-01,2118.512,0.04113299790545977
1949,1949-01-01,2106.559,-0.005642167710166346
1950,1950-01-01,2289.546,0.08686535720100874
1951,1951-01-01,2473.758,0.0804578724340983
1952,1952-01-01,2574.898,0.040885163382998746
1953,1953-01-01,2695.614,0.04688185706773629
1954,1954-01-01,2680.023,-0.00578383997115306
1955,1955-01-01,2871.198,0.07133334303474248
1956,1956-01-01,2932.388,0.02131166154336972
1957,1957-01-01,2994.132,0.0210558766438822
1958,1958-01-01,2971.951,-0.007408157021801309
1959,1959-01-01,3178.182,0.06939246306550806
1960,1960-01-01,3259.971,0.025734523699397993
1961,1961-01-01,3343.546,0.02563673112429532
1962,1962-01-01,3548.409,0.06127117736678378
1963,1963-01-01,3702.944,0.043550503901889526
1964,1964-01-01,3916.28,0.057612537483688664
1965,1965-01-01,4170.75,0.06497747862767733
1966,1966-01-01,4445.853,0.06596007912245994
1967,1967-01-01,4567.781,0.027425108297552736
1968,1968-01-01,4792.315,0.0491560344070785
1969,1969-01-01,4942.067,0.03124836326493563
1970,1970-01-01,4951.262,0.0018605575359458282
1971,1971-01-01,5114.325,0.03293362379126785
1972,1972-01-01,5383.282,0.052588953576474085
1973,1973-01-01,5687.207,0.05645719470018484
1974,1974-01-01,5656.465,-0.005405465283750077
1975,1975-01-01,5644.843,-0.002054640133016039
1976,1976-01-01,5948.995,0.053881392272557393
1977,1977-01-01,6224.086,0.04624159206723166
1978,1978-01-01,6568.608,0.055353026934396476
1979,1979-01-01,6776.58,0.031661502711076706
1980,1980-01-01,6759.181,-0.0025675193091501125
1981,1981-01-01,6930.71,0.025377186969841592
1982,1982-01-01,6805.758,-0.018028744529781204
1983,1983-01-01,7117.729,0.045839273156641935
1984,1984-01-01,7632.812,0.07236619994945004
1985,1985-01-01,7951.074,0.04169655953795259
1986,1986-01-01,8226.392,0.03462651712208942
1987,1987-01-01,8510.99,0.03459572556231216
1988,1988-01-01,8866.498,0.04177046383558203
1989,1989-01-01,9192.134,0.03672656329477553
1990,1990-01-01,9365.494,0.018859603221624166
1991,1991-01-01,9355.355,-0.001082591051790871
1992,1992-01-01,9684.892,0.03522442494165112
1993,1993-01-01,9951.502,0.027528443270198544
1994,1994-01-01,10352.432,0.04028839063691092
1995,1995-01-01,10630.321,0.02684287131758012
1996,1996-01-01,11031.35,0.037725013195744506
1997,1997-01-01,11521.938,0.04447216342514748
1998,1998-01-01,12038.283,0.04481407554874872
1999,1999-01-01,12610.491,0.04753235988886462
2000,2000-01-01,13130.987,0.04127484013112559
2001,2001-01-01,13262.079,0.009983407949455847
2002,2002-01-01,13493.064,0.017416952500433736
2003,2003-01-01,13879.129,0.028612107672504994
2004,2004-01-01,14406.382,0.037988911263811875
2005,2005-01-01,14912.509,0.03513213796496584
2006,2006-01-01,15338.257,0.028549722920536036
2007,2007-01-01,15626.029,0.01876171458073772
2008,2008-01-01,15604.687,-0.0013657980540033865
2009,2009-01-01,15208.834,-0.02536757065361195
2010,2010-01-01,15598.753,0.025637665583042146
2011,2011-01-01,15840.664,0.015508355058894807
2012,2012-01-01,16197.007,0.022495458523708267
2013,2013-01-01,16495.369,0.018420810709040225
2014,2014-01-01,16912.038,0.025259756238251052
2015,2015-01-01,17432.17,0.03075513430137744
2016,2016-01-01,17730.509,0.017114277797887434
2017,2017-01-01,18144.105,0.023326797893957973
2018,2018-01-01,18687.786,0.02996460833973358
2019,2019-01-01,19091.662,0.021611762891548425
2020,2020-01-01,18423.446,-0.035000410126682535
1928,,,0.011
